date,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,sub_metering_remainder,rr,nbjrr1,nbjrr5,nbjrr10,nbjbrou
2006-12-16,1209.176,34.922,236.2438,13.0828,0.0,546.0,4926.0,14680.9333,63.75,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,240.087,9.999,2033.0,4187.0,13341.0,36946.6667,63.75,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,241.2317,6.4217,1063.0,2621.0,14018.0,19028.4333,63.75,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,241.9993,4.9264,839.0,7602.0,6197.0,13131.9,63.75,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,242.3081,6.4674,0.0,2648.0,14063.0,20384.8,63.75,9.333,5.667,2.167,0.167
2006-12-21,1717.112,144.166,241.0423,5.0282,1765.0,2623.0,10421.0,13809.5333,63.75,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,241.1845,6.8729,3151.0,350.0,11131.0,24390.3,63.75,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,240.1361,14.0281,2669.0,425.0,14726.0,61736.4333,63.75,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,241.6874,7.6404,1703.0,5082.0,6891.0,28824.2,63.75,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,243.3999,7.9515,6620.0,1962.0,5795.0,31341.6667,63.75,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,241.6254,11.3479,1086.0,2533.0,14979.0,46970.5,63.75,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.902,243.7674,4.5175,0.0,314.0,6976.0,18189.3333,63.75,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,243.2683,6.0863,2207.0,4419.0,9176.0,18741.9667,63.75,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,240.8713,9.2714,1252.0,5162.0,11329.0,35163.5333,63.75,9.333,5.667,2.167,0.167
2006-12-30,2801.738,312.756,240.5363,8.3171,3148.0,7929.0,12516.0,23102.6333,63.75,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,239.8966,10.1996,0.0,347.0,6502.0,51387.6,63.75,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,240.129,7.9169,0.0,352.0,5880.0,39584.7333,28.36,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,241.9438,3.714,0.0,348.0,6562.0,14243.9333,28.36,10.2,0.6,0.0,0.0
